_id,_importdate,build_b,build_c,build_l,build_name,build_p,build_r,buitype,case_f,case_t,district,elevator,farea,fdate,landa,landa_z,location,manage,mb_area,mbuild,parea,parktype,pbuild,pprice,pu_area,rent_period,rent_service,rent_type,rmnote,rule,sb_area,sbuild,scnt,sdate,tbuild,tprice,trans_target,upnote,uprice
147,"{'date': '2026-08-12 10:56:01.348414', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,2,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,士林區,有,35.52,,4.46,,天母西路50巷28之1號九樓,,,,12.21,坡道平面1,見其他登記事項,320,,,,,預售屋、或土地及建物分件登記案件。民國114年04月25日讓渡，讓渡金額2980萬元,,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,十三層,屋頂突出物,地下一層,地下二層,地下三層,地下四層",土地:1建物:1車位:1,1100113,,2680,,否,101.24
149,"{'date': '2026-08-12 10:56:01.349547', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,北投區,無,32.18,,10.11,,公館路209巷16弄12號四樓,,,,0,,住家用,0,,,,,建築物含有：陽台外推、其他增建。,,,四層,土地:3建物:1車位:,1150604,,1260,,否,39.15
151,"{'date': '2026-08-12 10:56:01.350606', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,士林區,無,15.92,,4.81,,美崙街62巷14號五樓,,,,0,,住家用,0,,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：頂樓加蓋。增建3房1廳1衛,,,五層,土地:3建物:1車位:,1150528,,588,,否,36.93
155,"{'date': '2026-08-12 10:56:01.352750', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,透天厝,房地(土地+建物),買賣,士林區,無,15.37,,46.28,,至善路二段1巷28弄4號,,,,0,,住家用,0,,,,,特殊交易情況、條件：具重建或重劃、都更等效益。,,,一層,土地:1建物:1車位:,1141002,,2930,,-,0
157,"{'date': '2026-08-12 10:56:01.353836', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,78.84,,14.61,,明德路267巷10號六樓,,,,0,坡道平面1,住家用,300,,,,,,,,六層,土地:1建物:1車位:1,1150702,,4700,,是,59.61
171,"{'date': '2026-08-12 10:56:01.361415', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,,土地,買賣,北投區,無,0,,25.6,,桃源段五小段0515-0000地號,,,,0,,,0,,,,,,,,,土地:1建物:0車位:,1150716,,450,,-,17.58
176,"{'date': '2026-08-12 10:56:01.364266', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,1,,有,4,公寓(無電梯),房屋,租賃,士林區,,6.05,,0,,中山北路六段191號三樓,無,,,0,,住家用,0,,115/06/29至116/06/28,一般轉租,分租雅房,租金：含下列其他衍生費用：網路費、其他-清潔費。,無,,三層,土地:建物:車位:房間個數:1,1150628,005,2,,否,2859.5
183,"{'date': '2026-08-12 10:56:01.368225', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,華廈(10層含以下有電梯),房地(土地+建物),買賣,北投區,有,10.75,,2.37,,石牌路二段348巷17號五樓之2,,,,0,,住家用,0,,,,,建築物含有：陽台外推、其他增建。,,,五層,土地:1建物:1車位:,1150703,,830,,否,77.21
185,"{'date': '2026-08-12 10:56:01.369352', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,1,,有,1,華廈(10層含以下有電梯),房地(土地+建物),買賣,北投區,有,13.82,,4.25,,泉源路34號四樓,,,,0,,住家用,0,,,,,,,,四層,土地:1建物:1車位:,1150618,,1050,,否,75.98
189,"{'date': '2026-08-12 10:56:01.371746', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,,土地,買賣,北投區,無,0,,0.31,,溫泉段一小段0260-0000地號,,,,0,,,0,,,,,,,,,土地:1建物:0車位:,1150714,,87,,-,280.65
200,"{'date': '2026-08-12 10:56:01.378030', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,慕溪,有,3,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,預售屋,士林區,,37.95,,6.78,,臺北市士林區天母北路44巷,,19.73,鋼筋混凝土造,5.52,其他1,住家用,190,16.75,,,,,,1.47,四層,土地:4建物:1車位:1,1150609,011,3650,0棟B1號,否,106.69
201,"{'date': '2026-08-12 10:56:01.379241', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、電視機、冰箱、有線電視、網路、傢俱,0,,有,1,公寓(無電梯),房屋,租賃,士林區,,6.99,,0,,凱旋路11號四樓之7,無,,,0,,住家用,0,,115/07/01至116/06/30,社會住宅包租轉租,獨立套房,,無,,四層,土地:建物:1車位:房間個數:,1150629,005,1,,否,1144.49
202,"{'date': '2026-08-12 10:56:01.379755', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,士林區,無,41.96,,7.22,,天玉街38巷11之3號五樓,,,,0,,住家用,0,,,,,,,,五層,土地:1建物:1車位:,1150518,,2800,,否,66.73
206,"{'date': '2026-08-12 10:56:01.381848', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,3,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,士林區,無,40.26,,10.86,,克強路10巷19弄16號五樓,,,,0,,住家用,0,,,,,建築物含有：陽台外推、頂樓加蓋、其他增建。,,,五層,土地:1建物:1車位:,1150203,,2638,,否,65.52
213,"{'date': '2026-08-12 10:56:01.385733', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,華廈(10層含以下有電梯),房地(土地+建物)+車位,買賣,士林區,有,49.98,,8.53,,承德路四段2巷17號二樓,,,,12.35,坡道平面1,見其他登記事項,305,,,,,交易總價包含下列非屬不動產價格之費用：裝潢費。,,,二層,土地:1建物:1車位:1,1150302,,3700,,否,90.22
214,"{'date': '2026-08-12 10:56:01.386332', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",5,,2,,有,6,透天厝,房地(土地+建物),買賣,士林區,無,21.79,,14.99,,新安路7號,,,,0,,住家用,0,,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,"一層,二層,陽臺,平台,地下層",土地:3建物:1車位:,1150716,,300,,-,0
217,"{'date': '2026-08-12 10:56:01.388086', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、傢俱,1,,有,3,公寓(無電梯),房屋,租賃,士林區,,27.85,,0,,葫蘆街54巷9弄4號四樓,無,,,0,,住家用,0,,115/07/05至116/07/04,社會住宅包租轉租,整棟(戶)出租,其他：續租案件。,無,,四層,土地:建物:1車位:房間個數:,1150702,004,2,,否,574.51
228,"{'date': '2026-08-12 10:56:01.394075', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,1,,有,2,華廈(10層含以下有電梯),房地(土地+建物)+車位,買賣,北投區,有,21.86,,3.13,,溫泉路87號二樓,,,,0,塔式車位1,商業用,120,,,,,建築物含有：夾層、其他增建。,,,二層,土地:1建物:1車位:1,1150614,,1290,,是,59.01
230,"{'date': '2026-08-12 10:56:01.395149', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,無,2,,有,4,公寓(無電梯),房屋,租賃,士林區,,32.46,,0,,士東路226號,無,,,0,,住家用,0,,115/07/01至121/06/30,一般包租,整棟(戶)出租,"租賃標的：含增建或未登記建物。1.此租金已扣除稅3600元，健保760元
2.免租裝潢期：115年7月1日起至115年8月30日止
3.未增建建物後陽台",無,,一層,土地:建物:1車位:房間個數:,1150630,005,3,,否,974.74
233,"{'date': '2026-08-12 10:56:01.396788', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器,1,,有,1,住宅大樓(11層含以上有電梯),房屋,租賃,北投區,,17.59,,0,,光明路220號十二樓之5,有,,,0,,住家用,0,,115/07/07至116/03/31,社會住宅代管,獨立套房,其他：續租案件。,有,,十二層,土地:建物:1車位:房間個數:,1150702,012,2,,否,966.46
245,"{'date': '2026-08-12 10:56:01.403164', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,士林區,無,31.5,,11.34,,文林路740巷9弄2號三樓,,,,0,,住家用,0,,,,,建築物含有：陽台外推、其他增建。,,,"三層,陽臺",土地:1建物:1車位:,1141206,,2327,,否,73.87
248,"{'date': '2026-08-12 10:56:01.404752', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,49.63,,7.58,,石牌路二段363號四樓,,,,11.35,坡道平面1,見其他登記事項,330,,,,,,,,四層,土地:1建物:1車位:1,1150728,,3900,,否,93.26
250,"{'date': '2026-08-12 10:56:01.405767', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,,土地,買賣,北投區,無,0,,2.01,,行義段二小段0071-0000地號,,,,0,,,0,,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。,,,,土地:1建物:0車位:,1150720,,98,,-,48.76
252,"{'date': '2026-08-12 10:56:01.406802', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,,土地,買賣,北投區,無,0,,4.34,,桃源段五小段0522-0000地號,,,,0,,,0,,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地,,,,土地:1建物:0車位:,1150708,,64,,-,14.75
259,"{'date': '2026-08-12 10:56:01.410669', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,士林區,無,57.35,,24.35,,仰德大道三段125巷5弄29號一樓,,,,0,,住家用,0,,,,,"建築物含有：其他增建。抽籤車位
平台增建",,,一層,土地:1建物:1車位:,1150604,,1680,,否,29.29
277,"{'date': '2026-08-12 10:56:01.420746', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、冰箱、傢俱,0,,有,1,華廈(10層含以下有電梯),房屋,租賃,士林區,,7.4,,0,,格致路20巷1號七樓之12,有,,,0,,商業用,0,,115/07/01至116/01/18,社會住宅包租轉租,獨立套房,管理費：962元，租金不含管理費，由承租人負擔。,有,,七層,土地:建物:1車位:房間個數:,1150701,009,1,,否,1621.62
278,"{'date': '2026-08-12 10:56:01.421329', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣5台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,1,,有,3,華廈(10層含以下有電梯),房屋,租賃,士林區,,54.54,,0,,天母東路43巷4弄12號三樓,有,,,0,,住家用,0,,115/07/16至117/07/15,無,整棟(戶)出租,租金：含下列其他衍生費用：管理費、網路費、其他-租金內含發票稅、有線電視、IPTV。其他：續租案件。,有,,三層,土地:建物:1車位:房間個數:,1150630,006,6,,否,1173.45
282,"{'date': '2026-08-12 10:56:01.423407', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,熱水器,1,,有,2,公寓(無電梯),房屋,租賃,北投區,,22.37,,0,,溫泉路143之13號三樓,有,,,0,,住家用,0,,115/07/13至116/07/12,社會住宅代管,整棟(戶)出租,其他：續租案件。,有,,三層,土地:建物:1車位:房間個數:,1150626,005,1,,否,581.14
285,"{'date': '2026-08-12 10:56:01.424947', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、電視機、冰箱、有線電視、網路、傢俱,0,,有,1,公寓(無電梯),房屋,租賃,士林區,,6.99,,0,,凱旋路11號四樓之9,無,,,0,,住家用,0,,115/07/01至116/06/30,社會住宅包租轉租,獨立套房,,無,,四層,土地:建物:1車位:房間個數:,1150629,005,1,,否,1144.49
287,"{'date': '2026-08-12 10:56:01.426091', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣4台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,2,,有,3,公寓(無電梯),房屋,租賃,士林區,,29.16,,0,,華齡街37號四樓,無,,,0,,住家用,0,,115/07/01至116/06/30,社會住宅代管,整棟(戶)出租,承租人：多人共同承租，共3人。,無,,四層,土地:建物:1車位:房間個數:,1150630,005,3,,否,1097.39
294,"{'date': '2026-08-12 10:56:01.430100', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,,土地,買賣,士林區,無,0,,16.53,,溪山段二小段0413-0000地號,,,,0,,,0,,,,,與政府有關之交易：地清或未辦繼承標售。,,,,土地:1建物:0車位:,1150630,,67,,-,4.05
